impact_rank,area_name,police_station,congestion_pcu_hrs_day,econ_loss_week_inr,tier,officers,shift,barricade,priority,weekly_saving_inr
191,"8th Main Road,  NIMHANS",Wilson Garden,0.38,226.0,Routine,1,06:00 - 11:00,NO,MONITOR ONLY,226
192,"Kodigehalli Main Road,  Kodigehalli Circle",Kodigehalli,0.38,226.0,Routine,1,04:00 - 09:00,NO,MONITOR ONLY,226
193,"Mumbai Bengaluru Highway,  Bagalagunte",Chikkabanavara,0.38,226.0,Routine,1,00:00 - 05:00,NO,MONITOR ONLY,226
194,"Jama Masjid Main Road,  Ballapurpete",Halasuru Gate,0.38,226.0,High,3,06:00 - 11:00,NO,MONITOR ONLY,226
195,"27th Cross Road,  Ramachandra Reddy Layout",HSR Layout,0.37,220.0,Moderate,1,08:00 - 13:00,NO,MONITOR ONLY,220
196,"Outer Ring Road,  Karthik Nagar",HAL Old Airport,0.37,220.0,Moderate,1,07:00 - 12:00,NO,MONITOR ONLY,220
197,"Dr BR Ambedkar Road,  HAL Circle",HAL Old Airport,0.37,220.0,Moderate,1,01:00 - 06:00,NO,MONITOR ONLY,220
198,"5th Cross Road,  Kalasipalyam New Extension",City Market,0.36,214.0,High,3,00:00 - 05:00,NO,MONITOR ONLY,214
199,"Dr Rajkumar Puniya Bhoomi Road,  Narasimhaiah Garden",J.P. Nagar,0.36,214.0,Moderate,2,00:00 - 05:00,NO,MONITOR ONLY,214
200,"46th Cross Road,  Block 4",Rajajinagar,0.36,214.0,Moderate,2,00:00 - 05:00,NO,MONITOR ONLY,214
201,"Pampa Mahakavi Road,  K Mariyappa Circle",V.V.Puram (C.Pet),0.36,214.0,Moderate,2,06:00 - 11:00,NO,MONITOR ONLY,214
202,"9th Cross Road,  SNN Raj Spiritua",Jayanagara,0.36,214.0,High,3,00:00 - 05:00,NO,MONITOR ONLY,214
203,"9th Main Road,  Block 5",Jayanagara,0.36,214.0,Moderate,2,01:00 - 06:00,NO,MONITOR ONLY,214
204,"Compensation Road,  Sivanchetti Gardens",Halasur,0.35,208.0,Routine,1,08:00 - 13:00,NO,MONITOR ONLY,208
205,"Whitefield Road,  Indian Oil Campus",Mahadevapura,0.35,208.0,Moderate,1,01:00 - 06:00,NO,MONITOR ONLY,208
206,"Old Airport Road,  Thimma Reddy Layout",Jeevanbheemanagar,0.35,208.0,Moderate,1,02:00 - 07:00,NO,MONITOR ONLY,208
207,"Sadduguntepalya Road,  Bharthi Layout",Mico Layout,0.35,208.0,Moderate,1,00:00 - 05:00,NO,MONITOR ONLY,208
208,"Professor K Venkatachalam Circle,  Venkatachalam Circle",Pulikeshinagar(F.Town),0.35,208.0,Routine,1,08:00 - 13:00,NO,MONITOR ONLY,208
209,"Kasturba Road,  Siddalingaiah Circle",Halasuru Gate,0.34,202.0,Moderate,2,04:00 - 09:00,NO,MONITOR ONLY,202
210,"Outer Ring Road,  Salarpuria Softzone Tech Park",Bellandur,0.34,202.0,Routine,1,02:00 - 07:00,NO,MONITOR ONLY,202
211,"Hosapalya Main Road,  Patel Channappa Circle",HSR Layout,0.33,196.0,Moderate,1,03:00 - 08:00,NO,MONITOR ONLY,196
212,"Allalasandra Main Road,  Taralabalu Enclave",Yelahanka,0.33,196.0,Moderate,1,03:00 - 08:00,NO,MONITOR ONLY,196
213,"ITPL Main Road,  Sumadhura Vasantham",Mahadevapura,0.32,190.0,Moderate,1,09:00 - 14:00,NO,MONITOR ONLY,190
214,"Palace Road,  Gandhi Nagar",Halasuru Gate,0.32,190.0,Moderate,2,02:00 - 07:00,NO,MONITOR ONLY,190
215,"Mumbai Bengaluru Highway,  Aparna Elina",Yeshwanthpura,0.32,190.0,Moderate,1,00:00 - 04:00,NO,MONITOR ONLY,190
216,"Bellary Road,  HGH Layout",Kodigehalli,0.31,184.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,184
217,"Bhashyam Road,  Akkimakalamna Gudi",Chamarajpet,0.31,184.0,High,3,07:00 - 12:00,NO,MONITOR ONLY,184
218,"80 Feet Road,  Havanur Circle",Magadi Road,0.31,184.0,High,3,08:00 - 13:00,NO,MONITOR ONLY,184
219,"SM Road,  Jalahalli Cross Junction",Chikkabanavara,0.3,178.0,Routine,1,08:00 - 13:00,NO,MONITOR ONLY,178
220,"Subramanyapura Main Road,  VVR Supreme Residency",K.S. Layout,0.3,178.0,High,2,09:00 - 14:00,NO,MONITOR ONLY,178
221,"Bellary Road,  Vista Pixel",Hebbala,0.3,178.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,178
222,"Konanakunte Main Road,  Gopalan Jewels",Thalagattapura,0.3,178.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,178
223,"Whitefield Main Road,  Sri Sathya Sai Gokulam",Mahadevapura,0.29,173.0,Routine,1,06:00 - 11:00,NO,MONITOR ONLY,173
224,"Sajjan Rao Circle,  Sajjan Rao Circle",V.V.Puram (C.Pet),0.29,173.0,Moderate,2,11:00 - 16:00,NO,MONITOR ONLY,173
225,"19th Main Road,  Sector 2",HSR Layout,0.29,173.0,Routine,1,08:00 - 13:00,NO,MONITOR ONLY,173
226,"JJR Main Road,  Tippu Chowk",Magadi Road,0.29,173.0,High,3,03:00 - 08:00,NO,MONITOR ONLY,173
227,"Rajatha Bhavana Road,  Dr K Shivaramakarantha Circle",Jalahalli,0.28,167.0,Moderate,1,08:00 - 13:00,NO,MONITOR ONLY,167
228,"Subramanyapura Main Road,  Vallabha Nagar",K.S. Layout,0.28,167.0,Moderate,1,10:00 - 15:00,NO,MONITOR ONLY,167
229,"MBT Road,  Kodandaram",K.R. Pura,0.28,167.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,167
230,"Old Madras Road,  Kolimi Heights",Halasur,0.28,167.0,High,2,06:00 - 11:00,NO,MONITOR ONLY,167
231,"Hosur Road,  Krimson Square",Madiwala,0.27,161.0,Routine,1,06:00 - 11:00,NO,MONITOR ONLY,161
232,"Magadi Road,  Sobha Indraprastha",Magadi Road,0.27,161.0,High,3,09:00 - 14:00,NO,MONITOR ONLY,161
233,"Hosur Road,  Narasimha Reddy Layout",HSR Layout,0.27,161.0,Routine,1,12:00 - 17:00,NO,MONITOR ONLY,161
234,"8th Main Road,  Veerannana Guda",Banashankari,0.27,161.0,Routine,1,00:00 - 05:00,NO,MONITOR ONLY,161
235,"HAL Airport Road,  Miraya Rose",Whitefield,0.27,161.0,High,2,07:00 - 12:00,NO,MONITOR ONLY,161
236,"24th Main Road,  Shamanna Garden",J.P. Nagar,0.27,161.0,High,3,07:00 - 12:00,NO,MONITOR ONLY,161
237,"Chikkabellanduru Road,  Ram Circle",Bellandur,0.27,161.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,161
238,"Hosahalli Main Road,  Hunasamaranahalli",Chikkajala,0.27,161.0,Routine,1,00:00 - 04:00,NO,MONITOR ONLY,161
239,"Field Marshal KM Cariappa Road,  Prestige Towers",Ashok Nagar,0.27,161.0,High,3,03:00 - 08:00,NO,MONITOR ONLY,161
240,"Kasturba Road,  Hudson Circle",Cubbon Park,0.27,161.0,Moderate,2,02:00 - 07:00,NO,MONITOR ONLY,161
241,"Doddakannelli Road,  Adithi Elite",HAL Old Airport,0.27,161.0,High,2,02:00 - 07:00,NO,MONITOR ONLY,161
242,"1st Cross Road,  Jeevan Bima Nagar",Jeevanbheemanagar,0.27,161.0,High,2,07:00 - 12:00,NO,MONITOR ONLY,161
243,"Kengeri Main Road,  Papareddypalya Circle",Jnanabharathi,0.26,155.0,Moderate,1,08:00 - 13:00,NO,MONITOR ONLY,155
244,"Whitefield Road,  International Technology Park Bangalore",Whitefield,0.26,155.0,High,2,02:00 - 07:00,NO,MONITOR ONLY,155
245,"KIADB Road,  Krishna Gowda Layout",Peenya,0.26,155.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,155
246,"HAL Airport Road,  DSR Vertex Apex",Whitefield,0.26,155.0,Moderate,1,04:00 - 09:00,NO,MONITOR ONLY,155
247,"Hesaraghatta Main Road,  Hesaragatta Cross Junction",Chikkabanavara,0.26,155.0,Routine,1,05:00 - 10:00,NO,MONITOR ONLY,155
248,"Varthur Main Road,  Dommansandra Circle",No Police Station,0.26,155.0,Moderate,1,02:00 - 07:00,NO,MONITOR ONLY,155
249,"60 Feet Road,  Veerabhadra Nagara Circle",Banashankari,0.25,149.0,Routine,1,11:00 - 16:00,NO,MONITOR ONLY,149
250,"Dr TCM Royan Road,  Siddhartha Nagar",Chamarajpet,0.25,149.0,Moderate,2,00:00 - 05:00,NO,MONITOR ONLY,149
251,"Old Madras Road,  Tamarikannan Junction",Jeevanbheemanagar,0.25,149.0,High,2,07:00 - 12:00,NO,MONITOR ONLY,149
252,"Madiwala Market Street,  FSL Quarters",Madiwala,0.25,149.0,Moderate,2,00:00 - 03:00,NO,MONITOR ONLY,149
253,"Yelahanka New Town Main Road,  1st Stage",Yelahanka,0.25,149.0,Routine,1,03:00 - 08:00,NO,MONITOR ONLY,149
254,"Sri Sri Sri Tiruchi Mahaswamiji Road,  Ideal Home Township",Kengeri,0.25,149.0,Routine,1,05:00 - 10:00,NO,MONITOR ONLY,149
255,"Hosur Road,  Nanjuda Reddy Layout",Electronic City,0.25,149.0,High,2,00:00 - 05:00,NO,MONITOR ONLY,149
256,"RV Road,  Cauvery Circle",Basavanagudi,0.25,149.0,Moderate,2,06:00 - 11:00,NO,MONITOR ONLY,149
257,"9th Cross Road,  IG Circle",J.P. Nagar,0.25,149.0,High,3,00:00 - 03:00,NO,MONITOR ONLY,149
258,"Hesaraghatta Main Road,  Defence Colony",Chikkabanavara,0.24,143.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,143
259,"2nd Cross Road,  Block 2",Kodigehalli,0.24,143.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,143
260,"Dr Rajkumar Puniya Bhoomi Road,  Sumnahalli Junction",Kamakshipalya,0.24,143.0,Routine,1,07:00 - 12:00,NO,MONITOR ONLY,143
261,"MBT Road,  Kotturu",K.R. Pura,0.24,143.0,Routine,1,00:00 - 04:00,NO,MONITOR ONLY,143
262,"27th Main Road,  HSR Layout 27th Main Junction",HSR Layout,0.24,143.0,Routine,1,08:00 - 13:00,NO,MONITOR ONLY,143
263,"2nd Main Road,  Income Tax and Central Excise Staff Quarters",R.T. Nagar,0.23,137.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,137
264,"Cubbon Road,  Coffee Board Junction",Cubbon Park,0.23,137.0,Moderate,2,02:00 - 07:00,NO,MONITOR ONLY,137
265,"16th Main Road,  18th Main Road Junction",Mico Layout,0.23,137.0,High,3,11:00 - 16:00,NO,MONITOR ONLY,137
266,"Konanakunte Main Road,  Prestige Brooklyn Heights",K.S. Layout,0.23,137.0,Moderate,2,00:00 - 05:00,NO,MONITOR ONLY,137
267,"St John Road,  Shree Circle",Pulikeshinagar(F.Town),0.23,137.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,137
268,"6th Cross Road,  Kumberpet",Halasuru Gate,0.23,137.0,High,3,08:00 - 13:00,NO,MONITOR ONLY,137
269,"Abbigere Main Road,  Patel Shamanna Layout",Jalahalli,0.23,137.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,137
270,"20th Main Road,  KR Garden",Adugodi,0.23,137.0,Routine,1,02:00 - 07:00,NO,MONITOR ONLY,137
271,"CMR Road,  Jahnavi Layout",Banaswadi,0.23,137.0,Routine,1,11:00 - 16:00,NO,MONITOR ONLY,137
272,"Rose Garden Road,  Kalyani Vista Phase 2",J.P. Nagar,0.23,137.0,Routine,1,01:00 - 06:00,NO,MONITOR ONLY,137
273,"60 Feet Road,  Prasanthnagar Circle",Vijayanagara,0.22,131.0,High,3,10:00 - 15:00,NO,MONITOR ONLY,131
274,"Bannerghatta Main Road,  Indian Institute of Management",J.P. Nagar,0.22,131.0,Routine,1,04:00 - 09:00,NO,MONITOR ONLY,131
275,"10th Main Road,  Achaiah Chetty Layout",Sadashivanagar,0.22,131.0,High,3,09:00 - 14:00,NO,MONITOR ONLY,131
276,"Sri Vinayaka Temple Main Road,  Sait Palya",Banaswadi,0.22,131.0,Routine,1,01:00 - 06:00,NO,MONITOR ONLY,131
277,"Mumbai Bengaluru Highway,  Bynapalya",No Police Station,0.22,131.0,Routine,1,01:00 - 06:00,NO,MONITOR ONLY,131
278,"MBT Road,  Brigade Golden Triangle",K.R. Pura,0.22,131.0,Moderate,1,08:00 - 13:00,NO,MONITOR ONLY,131
279,"Dr Rajkumar Puniya Bhoomi Road,  Jaraganahalli Circle",J.P. Nagar,0.22,131.0,Moderate,2,09:00 - 14:00,NO,MONITOR ONLY,131
280,"Thanisandra Main Road,  Ex Serviceman Layout",Hennuru,0.22,131.0,Moderate,1,05:00 - 10:00,NO,MONITOR ONLY,131
281,"Commissariat Road,  Garuda Mall",Ashok Nagar,0.22,131.0,Routine,1,10:00 - 15:00,NO,MONITOR ONLY,131
282,"Rhenius Street,  Nanjappa Circle",Ashok Nagar,0.22,131.0,Moderate,2,06:00 - 11:00,NO,MONITOR ONLY,131
283,"Lalbagh Main Road,  SGN Layout",City Market,0.22,131.0,Moderate,2,01:00 - 06:00,NO,MONITOR ONLY,131
284,"MBT Road,  Avalahalli South Taluka",K.R. Pura,0.21,125.0,Moderate,1,09:00 - 14:00,NO,MONITOR ONLY,125
285,"Dr APJ Abdul Kalam Marg,  Sir CV Raman Circle",Banaswadi,0.21,125.0,Routine,1,03:00 - 08:00,NO,MONITOR ONLY,125
286,"Railway Line Road,  NGEF Layout",Banaswadi,0.21,125.0,High,2,05:00 - 10:00,NO,MONITOR ONLY,125
287,"Palace Road,  Prestige Trade Tower",High ground,0.2,119.0,Moderate,2,00:00 - 04:00,NO,MONITOR ONLY,119
288,"ORC Road,  Karnataka Police Quarters",Ashok Nagar,0.2,119.0,High,2,00:00 - 05:00,NO,MONITOR ONLY,119
289,"MBT Road,  Zero Tolerance Junction",K.R. Pura,0.2,119.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,119
290,"Sarjapura Main Road,  Saket Callipolis",Bellandur,0.2,119.0,Routine,1,05:00 - 10:00,NO,MONITOR ONLY,119
291,"RV Road,  Lalbhagh West Gate Circle",Basavanagudi,0.2,119.0,Moderate,2,08:00 - 13:00,NO,MONITOR ONLY,119
292,"7th Cross Road,  Park Square Apartment",HSR Layout,0.2,119.0,Routine,1,02:00 - 07:00,NO,MONITOR ONLY,119
293,"Kempapura Main Road,  Esteem Mall",Hebbala,0.2,119.0,Routine,1,01:00 - 06:00,NO,MONITOR ONLY,119
294,"Dr Rajgopal Road,  Infantry Towers",Kodigehalli,0.19,113.0,Routine,1,07:00 - 12:00,NO,MONITOR ONLY,113
295,"3rd A Cross Road,  East Colony",Yelahanka,0.19,113.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,113
296,"Nallurahalli Road,  SV Mayfair",Whitefield,0.19,113.0,High,2,08:00 - 13:00,NO,MONITOR ONLY,113
297,"Amrutha College Road,  Rayasandra Circle",Electronic City,0.19,113.0,Moderate,1,09:00 - 14:00,NO,MONITOR ONLY,113
298,"Whitefield Road,  Sadaramangala Industrial Area",Mahadevapura,0.19,113.0,High,2,10:00 - 15:00,NO,MONITOR ONLY,113
299,"Sultanji Gunta Road,  Sulthangunta",Pulikeshinagar(F.Town),0.19,113.0,Moderate,1,01:00 - 06:00,NO,MONITOR ONLY,113
300,"Magadi Main Road,  BM Shankarappa Industrial Estate",Kamakshipalya,0.18,107.0,Routine,1,02:00 - 07:00,NO,MONITOR ONLY,107
301,"Kengeri Main Road,  Bayamma Layout",Jnanabharathi,0.18,107.0,Routine,1,01:00 - 06:00,NO,MONITOR ONLY,107
302,"Sri ML Subbaraju Road,  Mahatma Gandhi Circle",Cubbon Park,0.18,107.0,Routine,1,04:00 - 09:00,NO,MONITOR ONLY,107
303,"National High School Road,  Sri Vasavi Circle",V.V.Puram (C.Pet),0.18,107.0,Moderate,2,02:00 - 07:00,NO,MONITOR ONLY,107
304,"Hosur Road,  Columbia Aaltius",Electronic City,0.18,107.0,High,2,00:00 - 05:00,NO,MONITOR ONLY,107
305,"Balasubramanya Street,  Telecom Layout",Magadi Road,0.18,107.0,Routine,1,01:00 - 06:00,NO,MONITOR ONLY,107
306,"21st Main Road,  Marenahalli Palya",J.P. Nagar,0.18,107.0,Moderate,2,05:00 - 10:00,NO,MONITOR ONLY,107
307,"14th Main Road,  Sector 5",HSR Layout,0.18,107.0,Routine,1,00:00 - 05:00,NO,MONITOR ONLY,107
308,"Kondajji Basappa Road,  Parvatipuram",V.V.Puram (C.Pet),0.18,107.0,Moderate,2,01:00 - 06:00,NO,MONITOR ONLY,107
309,"Bellary Road,  Godrej Platinum",Kodigehalli,0.17,101.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,101
310,"Whitefield Main Road,  HBK Layout",Whitefield,0.16,95.0,High,2,06:00 - 11:00,NO,MONITOR ONLY,95
311,"Hesarghatta Road,  Mohammad Sab Palya Circle",Yelahanka,0.16,95.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,95
312,"5th Main Road,  Shri Satya Sai Circle",Jayanagara,0.16,95.0,Moderate,2,03:00 - 08:00,NO,MONITOR ONLY,95
313,"Bannerghatta Main Road,  JD Mara Junction",J.P. Nagar,0.16,95.0,Moderate,2,07:00 - 12:00,NO,MONITOR ONLY,95
314,"SKS Compound Road,  Kudlu Gate",Electronic City,0.16,95.0,Routine,1,00:00 - 05:00,NO,MONITOR ONLY,95
315,"9th Cross Road,  Shakambari Nagar",J.P. Nagar,0.16,95.0,High,3,00:00 - 03:00,NO,MONITOR ONLY,95
316,"Sankey Road,  RV Layout",High ground,0.16,95.0,Moderate,2,08:00 - 13:00,NO,MONITOR ONLY,95
317,"Konanakunte Main Road,  Bayanapalya",Thalagattapura,0.16,95.0,Routine,1,08:00 - 13:00,NO,MONITOR ONLY,95
318,"Dr TCM Royan Road,  Akkimakalamna Gudi",Chamarajpet,0.16,95.0,High,2,00:00 - 05:00,NO,MONITOR ONLY,95
319,"3rd Main Road,  Reddys Keerthi Residency",Mahadevapura,0.15,89.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,89
320,"Millers Road,  Kaverappa Layout",High ground,0.15,89.0,Routine,1,02:00 - 07:00,NO,MONITOR ONLY,89
321,"27th Main Road,  Sector 1",HSR Layout,0.15,89.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,89
322,"HMT Main Road,  HMT Circle",Jalahalli,0.15,89.0,High,2,01:00 - 06:00,NO,MONITOR ONLY,89
323,"Bannerghatta Main Road,  Vijay Shree Layout",J.P. Nagar,0.15,89.0,Routine,1,05:00 - 10:00,NO,MONITOR ONLY,89
324,"Sulibele Road,  Giriyamma Circle",Devanahalli Airport,0.15,89.0,Routine,1,02:00 - 07:00,NO,MONITOR ONLY,89
325,"Mumbai Bengaluru Highway,  Sobha Garrison",Peenya,0.15,89.0,Moderate,1,02:00 - 07:00,NO,MONITOR ONLY,89
326,"Hosur Road,  Maha Ligeshwara Layout",Adugodi,0.14,83.0,Moderate,2,01:00 - 06:00,NO,MONITOR ONLY,83
327,"4th Main Road,  Shri Ma Ramamurthy Circle",V.V.Puram (C.Pet),0.14,83.0,Moderate,2,07:00 - 12:00,NO,MONITOR ONLY,83
328,"5th Cross Road,  Nagappa Block",Malleshwaram,0.14,83.0,Routine,1,08:00 - 13:00,NO,MONITOR ONLY,83
329,"Chikka Banavara RS Road,  Prasad Enclave",Jalahalli,0.14,83.0,Routine,1,01:00 - 06:00,NO,MONITOR ONLY,83
330,"Binny Mill Main Road,  Railway Quarters",Magadi Road,0.14,83.0,High,3,00:00 - 05:00,NO,MONITOR ONLY,83
331,"1st Main Road,  Jayamahal Extension",R.T. Nagar,0.14,83.0,Routine,1,02:00 - 07:00,NO,MONITOR ONLY,83
332,"Whitefield Main Road,  HM Tech Park",Whitefield,0.14,83.0,Moderate,1,07:00 - 12:00,NO,MONITOR ONLY,83
333,"J Lingaiah Road,  Kempanna Block",Sheshadripuram,0.13,77.0,Routine,1,08:00 - 13:00,NO,MONITOR ONLY,77
334,"Thigalarapalya Main Road,  Stage 2",Kamakshipalya,0.13,77.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,77
335,"Magadi Main Road,  Byadrahalli",Kamakshipalya,0.13,77.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,77
336,"Dr Vishnuvardhan Main Road,  Uttarahalli Circle",K.S. Layout,0.13,77.0,Routine,1,11:00 - 16:00,NO,MONITOR ONLY,77
337,"Kengeri Main Road,  Kengeri Satellite Town",Kengeri,0.13,77.0,Routine,1,03:00 - 08:00,NO,MONITOR ONLY,77
338,"Nexus Venture Partners,  301",Cubbon Park,0.13,77.0,Routine,1,08:00 - 13:00,NO,MONITOR ONLY,77
339,"Varthur Main Road,  Dr BR Ambedkar Circle",Whitefield,0.13,77.0,High,2,01:00 - 06:00,NO,MONITOR ONLY,77
340,"Siddhapura Road,  Siddapura Circle",Wilson Garden,0.12,71.0,Routine,1,00:00 - 05:00,NO,MONITOR ONLY,71
341,"Bikasipura Main Road,  LMC Industrial Layout",K.S. Layout,0.12,71.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,71
342,"Forest Region Road,  Vymac Circle",Jalahalli,0.12,71.0,Routine,1,10:00 - 15:00,NO,MONITOR ONLY,71
343,"Doddagubbi Road,  Chikka Aneppa Layout",Hennuru,0.12,71.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,71
344,"Hoodi Main Road,  Thigalarapalya",Mahadevapura,0.11,65.0,Routine,1,02:00 - 07:00,NO,MONITOR ONLY,65
345,"Seppings Road,  Nehru Puram",Pulikeshinagar(F.Town),0.11,65.0,Routine,1,10:00 - 15:00,NO,MONITOR ONLY,65
346,"12th Main Road,  Bhashyam Circle",Magadi Road,0.11,65.0,Moderate,2,07:00 - 12:00,NO,MONITOR ONLY,65
347,"G Narayana Kumar Road,  Soundarya Kamakshi",Kamakshipalya,0.11,65.0,Routine,1,10:00 - 15:00,NO,MONITOR ONLY,65
348,"RV Road,  Lalbhagh West Gate Circle",Wilson Garden,0.11,65.0,Moderate,2,08:00 - 13:00,NO,MONITOR ONLY,65
349,"Kempegowda Road,  Kamraj Nagar",K.G. Halli,0.11,65.0,Routine,1,02:00 - 07:00,NO,MONITOR ONLY,65
350,"24th Main Road,  Sri SN Venkatesh Reddy Circle",J.P. Nagar,0.11,65.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,65
351,"9th Main Road,  Shri Satya Sai Circle",Jayanagara,0.11,65.0,Moderate,2,09:00 - 14:00,NO,MONITOR ONLY,65
352,"Konanakunte Main Road,  SS Vrudhi",Thalagattapura,0.11,65.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,65
353,"Kengeri Magadi Road,  Police Quarters",Kengeri,0.11,65.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,65
354,"Lingarajapuram Flyover,  Old Bagalur Layout",Pulikeshinagar(F.Town),0.11,65.0,Routine,1,02:00 - 07:00,NO,MONITOR ONLY,65
355,"Hesaraghatta Main Road,  Havanoor Extension",Chikkabanavara,0.1,60.0,Routine,1,11:00 - 16:00,NO,MONITOR ONLY,60
356,"Jalahalli Main Road,  Sri Veera Madakari Nayaka Circle",Jalahalli,0.1,60.0,High,2,09:00 - 14:00,NO,MONITOR ONLY,60
357,"Munninarasimha Road,  Prisha Orchids",Hennuru,0.1,60.0,Moderate,1,11:00 - 16:00,NO,MONITOR ONLY,60
358,"Srinivagilu Main Road,  Sony World Junction",Adugodi,0.1,60.0,Routine,1,12:00 - 17:00,NO,MONITOR ONLY,60
359,"20th Main Road,  Block 8",Adugodi,0.1,60.0,Routine,1,01:00 - 06:00,NO,MONITOR ONLY,60
360,"Castle Street,  Mother Teresa Circle",Ashok Nagar,0.09,54.0,Routine,1,07:00 - 12:00,NO,MONITOR ONLY,54
361,"100 Feet Road,  Stage 1",Jeevanbheemanagar,0.09,54.0,High,2,10:00 - 15:00,NO,MONITOR ONLY,54
362,"1st Cross Road,  Block 5A",Adugodi,0.09,54.0,Routine,1,08:00 - 13:00,NO,MONITOR ONLY,54
363,"T Mariyappa Road,  Kanakana Palya",Wilson Garden,0.09,54.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,54
364,"Mims Gulmohar Road,  Gulmohar",Whitefield,0.08,48.0,Critical,2,08:00 - 13:00,NO,MONITOR ONLY,48
365,"Kodigehalli Main Road,  Aryav Greenfields",K.R. Pura,0.08,48.0,Critical,2,02:00 - 07:00,NO,MONITOR ONLY,48
366,"Konanakunte Main Road,  4th H Block",Thalagattapura,0.08,48.0,Routine,1,08:00 - 13:00,NO,MONITOR ONLY,48
367,"Old Madras Road,  New Binnamangla",Jeevanbheemanagar,0.08,48.0,High,2,01:00 - 06:00,NO,MONITOR ONLY,48
368,"Andhrahalli Main Road,  Soundarya Layout",Kamakshipalya,0.08,48.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,48
369,"1st A Main Road,  Billiards Junction",Vijayanagara,0.07,42.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,42
370,"Haralur Road,  Madduramma Junction",Bellandur,0.07,42.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,42
371,"Sri Nitturu Srinivasarao Road,  Madhavan Circle",Jayanagara,0.07,42.0,Moderate,2,04:00 - 09:00,NO,MONITOR ONLY,42
372,"Westend Avenue,  Akshaya Nagar",Hulimavu,0.07,42.0,Routine,1,10:00 - 15:00,NO,MONITOR ONLY,42
373,"Madhavaraya Mudaliar Road,  Nanjappa Block",Pulikeshinagar(F.Town),0.07,42.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,42
374,"Kodigehalli Main Road,  Aryav Greenfields",Mahadevapura,0.07,42.0,Critical,2,01:00 - 06:00,NO,MONITOR ONLY,42
375,"Road Number 1,  Salarpuria Infozone",Electronic City,0.07,42.0,Routine,1,10:00 - 15:00,NO,MONITOR ONLY,42
376,"BDA 80 Feet Road,  Windchimes",Hulimavu,0.07,42.0,Routine,1,06:00 - 11:00,NO,MONITOR ONLY,42
377,"5th Cross Road,  Mariappanapalya",Rajajinagar,0.07,42.0,Routine,1,08:00 - 13:00,NO,MONITOR ONLY,42
378,"Thimmaiah Road,  Chavundaraya Circle",High ground,0.07,42.0,Routine,1,04:00 - 09:00,NO,MONITOR ONLY,42
379,"Thanisandra Main Road,  Tuba Layout",Hennuru,0.07,42.0,Routine,1,12:00 - 17:00,NO,MONITOR ONLY,42
380,"Canara Bank Cross Road,  Konanakunte Junction",K.S. Layout,0.06,36.0,Routine,1,01:00 - 06:00,NO,MONITOR ONLY,36
381,"Ashley Road,  Prestige Falcon Towers",Halasur,0.06,36.0,Routine,1,02:00 - 07:00,NO,MONITOR ONLY,36
382,"17th Cross Road,  Parangipalya",HSR Layout,0.06,36.0,Routine,1,04:00 - 09:00,NO,MONITOR ONLY,36
383,"Amrutha College Road,  Tulasi Layout",Bellandur,0.06,36.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,36
384,"10th Cross Road,  LIC Colony Junction",Jayanagara,0.05,30.0,Routine,1,11:00 - 16:00,NO,MONITOR ONLY,30
385,"Industrial Park Road,  RMZ NXT",Mahadevapura,0.05,30.0,High,2,04:00 - 09:00,NO,MONITOR ONLY,30
386,"Banaswadi Main Road,  Maruthi Sevanagar",Banaswadi,0.05,30.0,Routine,1,08:00 - 13:00,NO,MONITOR ONLY,30
387,"Dasarahalli Main Road,  RMZ Azure",Hebbala,0.05,30.0,Routine,1,03:00 - 08:00,NO,MONITOR ONLY,30
